906000131405	2013	UG	Canada	IDRC	"Empowering Developing Countries on the UN Security Council"	"EMPOWERING DEVELOPING COUNTRIES ON THE UN SECURITY COUNCIL"	"Security Council Report Inc. (SCR) is a nonprofit corporation established in 2005 to provide timely, accurate and objective information and analysis on the activities of the United Nations (UN) Security Council. The Security Council includes 10 elected members, many of which are developing countries. This project aims to help such countries address the challenge of monitoring and engaging with the various issues and activities involved. It will do so by providing SCR with the necessary support to develop an Internet-based tool that will make relevant information freely available to a broad audience, especially elected members from developing countries. The service will offer both open source news stories and short postings from insiders involved in the Security Council process."
906000132486	2013	CD	Canada	DFATD	"Working Together for Poverty Eradication / Travailler ensemble pour éliminer la pauvreté"	"WORKING TOGETHER FOR POVERTY ERADICATION / TRAVAILLER ENSEMBLE POUR ÉLIMINER LA PAUVRETÉ"	"The purpose of this project is to improve livelihoods of the poor, especially women, youth and indigenous people in deprived rural and urban communities, while strengthening civil society organizations that give voice to the poorest and marginalized populations. Project activities include a combination of practical initiatives aimed at income generation, improved livelihoods and food security among the selected populations, capacity-building activities aimed at strengthening local partners’ abilities to represent the interests of poor people over the long term, and network building activities to enable partners to learn from one another. The project provides micro-credit and training in agriculture, business and environmental management to improve the livelihoods of women, men and youth; increases food production for small landholders by improving food storage capacities and expanding marketing of surplus; promotes ecologically sustainable agriculture; and opens marketing channels through business cooperatives and regional, national, and international networks. / L’objectif du projet est d’améliorer les moyens de subsistance des pauvres, particulièrement les femmes, les jeunes et les autochtones des communautés rurales et urbaines démunies, tout en renforçant les organisations de la société civile qui donne une voix aux populations les plus démunies et marginalisées. Les activités de projet comprennent une combinaison d’initiatives pratiques qui visent la génération de revenus, des moyens de subsistance améliorés et une sécurité alimentaire parmi les populations visées, des activités de développement des capacités qui visent le renforcement des aptitudes des partenaires locaux à représenter à long terme les intérêts des pauvres, et des activités de développement d’un réseau qui permet aux partenaires de s’instruire entre eux. Le projet fournit du micro-financement et une formation en agriculture, en affaires et en gestion de l’environnement pour améliorer les moyens de subsistance des femmes, des hommes et des jeunes; augmente la production alimentaire des petits fermiers en améliorant leurs capacités d’entreposage des aliments et en misant sur l’expansion de la vente des surplus; favorise l’exploitation agricole écologiquement durable; entreprend l’ouverture des marchés par l’entremise des coopératives d’entreprise et des réseaux de marchés régionaux, nationaux et internationaux."
906000135043	2013	SN	Canada	IDRC	"Déchets électroniques et informatiques : Publication"	"DÉCHETS ÉLECTRONIQUES ET INFORMATIQUES : PUBLICATION"	"Informer les chercheurs, décideurs et autres acteurs de la société civile des défis et opportunités qu'offrent les déchets d'équipements informatiques."
906000135960	2013	SN	Canada	DFATD	"Economic Growth Through Access to Financial Services / La croissance économique par l'accès aux services financiers"	"ECONOMIC GROWTH THROUGH ACCESS TO FINANCIAL SERVICES / LA CROISSANCE ÉCONOMIQUE PAR L'ACCÈS AUX SERVICES FINANCIERS"	"This program aims to contribute to economic growth and improved socio-economic conditions for disadvantaged populations. Working in 19 countries, the project focuses on three priorities: (1) improving the range of financial services and the distribution networks of micro-finance institutions; (2) improving the governance of microfinance institutions; and (3) developing dialogue and inter-cooperation among these institutions. Some of the activities include: (1) supporting the creation of financial centers for entrepreneurs; (2) developing agricultural loans, mortgage and micro-insurance; (3) improving the management and services offered to clients; and (4) organizing regional and international seminars to share best practices in micro-finance. In targeting these areas of activity, the project seeks to increase the accessibility and quality of financial services offered to disadvantaged populations, build a professional staff, improve management systems and promote the sharing of best practices. The expected intermediate outcomes for this project include: (1) local financial institutions offer their members and clients diversified, accessible, quality financial services; (2) financial institutions are administered by managers and employees who are qualified and competent, adopt best management and governance practices, and show concern for their clientele; and (3) local financial institutions are developed through solidarity and mutual cooperation. / Le programme a pour finalité de contribuer à la croissance économique et à l'amélioration des conditions socio-économiques des populations défavorisées. Présent dans 19 pays, le programme vise trois priorités : 1) améliorer l'offre de services financiers et les réseaux de distributions des institutions de micro-finance; 2) améliorer la gouvernance des institutions de micro-finance; 3) développer les échanges et l'inter-coopération entre ces institutions. Voici quelques-unes des activités : 1) appuyer la création de centres financiers aux entrepreneurs; 2) développer des produits de crédit agricole, hypothécaire et de micro-assurance; 3) améliorer la gestion et les services à la clientèle; 4) organiser des séminaires régionaux et internationaux pour échanger sur les bonnes pratiques de micro-finance. En ciblant ce genre d’activités, le programme vise à améliorer l’accès et la qualité des services financiers offerts aux populations défavorisées, des employés professionnelles, améliorer les systèmes de gestion, et promouvoir le partage des bonnes pratiques de micro-finance. Les résultats intermédiaires escomptés de ce projet comprennent : 1) les services financiers offerts aux membres et clients des institutions de finance de proximité sont diversifiés, de qualité et accessibles; 2) les institutions financières sont administrées par des employés et des dirigeants compétents, respectueux des bonnes pratiques de gestion et de gouvernance, et soucieux de leur clientèle; 3) les institutions de finance"
906000135963	2013	SN	Canada	DFATD	"SUCO - Volunteer Sending 2009-2015 / SUCO - Envoi de volontaires 2009-2015"	"SUCO - VOLUNTEER SENDING 2009-2015 / SUCO - ENVOI DE VOLONTAIRES 2009-2015"	"The program concentrates its activities in three sectors: private sector development through partners' institutional and organizational strengthening; good governance through local development; and promotion of environmental sustainability through agriculture, forestry, fish and cattle farming systems. Every year, 22 volunteers support these efforts. The objectives of the program are: (1) help partners gain knowledge and adopt development practices that are democratic, just and sustainable; (2) help partners improve individual and collective well-being through socio-economic activities; (3) promote gender equity and empower women in gaining autonomy and influence; (4) support partners in their actions and practices leading towards viable and sustainable environmental development; and (5) promote openness for exchange and dialogue between development partners (government authorities and civil society organizations). An amount of $80,622 has been added to the total amount for each of the Volunteer Cooperation Agency programs for CIDA-led program evaluations. / Le programme concentre ses actions dans trois secteurs, soit le soutien au développement du secteur privé par le renforcement institutionnel et organisationnel de partenaires, la promotion de la bonne gouvernance par le développement local et la promotion de la durabilité de l'environnement par des systèmes agro-sylvo-pastoraux et piscicoles. Il y a 22 volontaires par année qui appuient ces efforts. Les objectifs du programme visent à 1) appuyer les partenaires à acquérir et adopter des pratiques de développement démocratique, équitable et durable; 2) soutenir les partenaires dans des actions socio-économiques permettant d'améliorer le mieux-être individuel et collectif des populations visées; 3) contribuer à la promotion de l'égalité entre les femmes et les hommes et soutenir les femmes dans l'atteinte d'une plus grande autonomie d'action et d'une plus grande influence; 4) soutenir les partenaires dans leurs actions et pratiques menant à un développement environnemental viable et durable; 5) favoriser la création d'espaces d'échanges et de dialogues entre partenaires du développement (instances gouvernementales et organisations de la société civile). Un montant de $ 80 622 a été ajouté au montant total pour chaque programme des organisations de coopération volontaire, pour les évaluations de programmes menées par l’ACDI."
906000136128	2013	ML	Canada	DFATD	"Radio to Improve Production and Marketing for Farmers in Need / Utiliser la radio pour améliorer la production et la vente pour les agriculteurs dans le besoin"	"RADIO TO IMPROVE PRODUCTION AND MARKETING FOR FARMERS IN NEED / UTILISER LA RADIO POUR AMÉLIORER LA PRODUCTION ET LA VENTE POUR LES AGRICULTEURS DANS"	"This project helps one million small-scale farmers raise their incomes and feed their families. Small-scale African farmers are among the most vulnerable to hunger. Many factors contribute to this problem, but an important part of the solution is to share knowledge of how to derive more benefits from agriculture. This is achieved through radio programs produced by community radio stations, with the participation of farmers and expert partners. By choosing the right planting materials, harvesting at the right time, processing and storing produce carefully, and negotiating with different buyers, the farmers are able to gain more from their activities. The capacities of ten radio stations are enhanced to create programs appealing to the farmers while sharing information that produces the most impact. Organizations involved in linking producers and buyers, and national sector specialists, help create relevant programs. The local partner for the project is Farm Radio Malawi. / Ce projet aide un million de petits producteurs agricoles à augmenter leur revenu et à nourrir leurs familles. Les petits producteurs agricoles africains sont parmi les plus vulnérables à la famine. Plusieurs facteurs contribuent à ce problème, mais une bonne partie de la solution réside dans le partage des connaissances sur comment bénéficier davantage de l’agriculture. Ceci est accompli par l’entremise de programmes radio produits par les stations de radio communautaire, avec la participation des agriculteurs et des experts partenaires. En choisissant le bon matériel de plantes, en faisant la récolte au bon moment, en transformant et entreposant les produits avec soin, et en négociant avec divers acheteurs, les agriculteurs peuvent davantage profiter de leurs activités. Les capacités de dix stations de radio sont rehaussées pour créer des programmes engageants pour les agriculteurs tout en partageant l’information qui a le plus d’impact. Les organisations impliquées au réseautage des producteurs et des acheteurs, et les spécialistes nationaux du secteur, aident à créer des programmes pertinents. Le partenaire local pour le projet est Farm Radio Malawi."
906000136782	2013	SD	Canada	DFATD	"Basic Service Provision and Recovery / Prestation de services de base et rétablissement"	"BASIC SERVICE PROVISION AND RECOVERY / PRESTATION DE SERVICES DE BASE ET RÉTABLISSEMENT"	"The Basic Service Provision and Recovery Interventions in the Highlands of Aweil East County project is promoting sustainable development through the provision of primary health care services; establishment and strengthening of health systems; increasing access to water and sanitation; and improving food security. This project aims to strengthen the position of local populations (estimated 124,000) to provide for and assimilate returnees (approximately 20,350); increase the capacity of government at the local, provincial, and state levels; and support the implementation of the Comprehensive Peace Agreement (CPA). / Le projet d’interventions pour la prestation de services de base et le relèvement dans les hautes terres d’Aweil Est vise à promouvoir le développement durable grâce à la prestation de services de soins de santé de base; à la mise sur pied et au renforcement des systèmes de santé; à un meilleur accès à des installations pour l’approvisionnement en eau et l’assainissement; et à la sécurité alimentaire. Le projet vise à renforcer la capacité des populations locales (environ 124 000 personnes) à subvenir aux besoins des rapatriés (environ 20 350 personnes) et à les réintégrer dans la société; à renforcer les capacités du gouvernement aux niveaux local, provincial et étatique; à soutenir la mise en œuvre de l’Accord de paix global."
906000136811	2013	ML	Canada	IDRC	"Déchets électroniques et informatiques : Publication"	"DÉCHETS ÉLECTRONIQUES ET INFORMATIQUES : PUBLICATION"	"Informer les chercheurs, décideurs et autres acteurs de la société civile des défis et opportunités qu'offrent les déchets d'équipements informatiques."
906000137844	2013	CI	Canada	IDRC	"Appui à la relance du ROCARÉ-CI en situation de crise post-électorale en Côte d'Ivoire"	"APPUI À LA RELANCE DU ROCARÉ-CI EN SITUATION DE CRISE POST-ÉLECTORALE EN CÔTE D'IVOIRE"	"De son indépendance acquise en 1960 jusqu'en 1999, la Côte d'Ivoire était l'un des pays les plus stables d'Afrique et connaissait un essor économique continu grâce à ses nombreuses richesses naturelles, agricoles en particulier. À partir de 1999, le pays s'est installé dans une longue période de crise politique dont le point culminant a été le conflit armé né d'élections contestées et qui a donné lieu à des destructions massives d'infrastructures publiques et privées.Les établissements d'enseignement et de recherche ont été particulièrement affectés par ces destructions et leurs ressources administratives, pédagogiques et de recherche ont été pillées, ce qui a entraîné la paralysie et la fermeture des campus universitaires et de leurs centres de recherche. Pour remédier aux effets néfastes de la crise sur l'enseignement et la recherche, des efforts sont présentement entrepris par le gouvernement et les autorités universitaires pour réhabiliter les infrastructures et la reprise des activités des établissements universitaires. C'est dans le cadre de ces efforts que la coordination nationale du Réseau ouest et centrafricain de recherches en éducation en Côte d'Ivoire (ROCARÉ-CI) entreprend ce projet pour reconstituer ses ressources scientifiques et techniques et relancer ses activités d'animation scientifique et de recherche sur les problématiques relatives au secteur éducatif dans le pays et au sein du ROCARÉ régional. Une attention particulière sera accordée à l'étude de l'impact de la crise post-électorale sur le système éducatif ivoirien, en particulier les réformes de l'enseignement et la formation d'une part et les questions d'éducation à la citoyenneté, à la démocratie et à la paix en période post-conflit."
906000138063	2013	ML	Canada	DFATD	"SUCO - Volunteer Sending 2009-2015 / SUCO - Envoi de volontaires 2009-2015"	"SUCO - VOLUNTEER SENDING 2009-2015 / SUCO - ENVOI DE VOLONTAIRES 2009-2015"	"The program concentrates its activities in three sectors: private sector development through partners' institutional and organizational strengthening; good governance through local development; and promotion of environmental sustainability through agriculture, forestry, fish and cattle farming systems. Every year, 22 volunteers support these efforts. The objectives of the program are: (1) help partners gain knowledge and adopt development practices that are democratic, just and sustainable; (2) help partners improve individual and collective well-being through socio-economic activities; (3) promote gender equity and empower women in gaining autonomy and influence; (4) support partners in their actions and practices leading towards viable and sustainable environmental development; and (5) promote openness for exchange and dialogue between development partners (government authorities and civil society organizations). An amount of $80,622 has been added to the total amount for each of the Volunteer Cooperation Agency programs for CIDA-led program evaluations. / Le programme concentre ses actions dans trois secteurs, soit le soutien au développement du secteur privé par le renforcement institutionnel et organisationnel de partenaires, la promotion de la bonne gouvernance par le développement local et la promotion de la durabilité de l'environnement par des systèmes agro-sylvo-pastoraux et piscicoles. Il y a 22 volontaires par année qui appuient ces efforts. Les objectifs du programme visent à 1) appuyer les partenaires à acquérir et adopter des pratiques de développement démocratique, équitable et durable; 2) soutenir les partenaires dans des actions socio-économiques permettant d'améliorer le mieux-être individuel et collectif des populations visées; 3) contribuer à la promotion de l'égalité entre les femmes et les hommes et soutenir les femmes dans l'atteinte d'une plus grande autonomie d'action et d'une plus grande influence; 4) soutenir les partenaires dans leurs actions et pratiques menant à un développement environnemental viable et durable; 5) favoriser la création d'espaces d'échanges et de dialogues entre partenaires du développement (instances gouvernementales et organisations de la société civile). Un montant de $ 80 622 a été ajouté au montant total pour chaque programme des organisations de coopération volontaire, pour les évaluations de programmes menées par l’ACDI."
