116081203	3351879	Republic of Angola	-12.5	18.5	A	PCLI	aiddata.org 2012 oecd	2012	AO	"European Communities (EC)"	CEC
116082266	426272	Gitega	-3.4264	29.9308	P	PPLA	aiddata.org 2012 oecd	2012	BI	"European Communities (EC)"	CEC
116082266	430302	Kigoma	-2.7629	29.9983	P	PPLL	aiddata.org 2012 oecd	2012	BI	"European Communities (EC)"	CEC
116082266	49518	Republic of Rwanda	-2	30	A	PCLI	aiddata.org 2012 oecd	2012	BI	"European Communities (EC)"	CEC
116082706	2434508	Republic of Chad	15	19	A	PCLI	aiddata.org 2012 oecd	2012	TD	"European Communities (EC)"	CEC
116083095	2260535	Brazzaville	-4.26613	15.28318	P	PPLC	aiddata.org 2012 oecd	2012	CG	"European Communities (EC)"	CEC
116083170	203312	Democratic Republic of the Congo	-2.5	23.5	A	PCLI	aiddata.org 2012 oecd	2012	CG	"European Communities (EC)"	CEC
116084840	2275384	Republic of Liberia	6.5	-9.5	A	PCLI	aiddata.org 2012 oecd	2012	LR	"European Communities (EC)"	CEC
116084877	2275384	Republic of Liberia	6.5	-9.5	A	PCLI	aiddata.org 2012 oecd	2012	LR	"European Communities (EC)"	CEC
116084914	4361885	Maryland	39.00039	-76.74997	A	ADM1	aiddata.org 2012 oecd	2012	LR	"European Communities (EC)"	CEC
116084950	2275384	Republic of Liberia	6.5	-9.5	A	PCLI	aiddata.org 2012 oecd	2012	LR	"European Communities (EC)"	CEC
116085574	2453866	Republic of Mali	18	-2	A	PCLI	aiddata.org 2012 oecd	2012	ML	"European Communities (EC)"	CEC
116086422	2439376	Tahoua	14.8888	5.2692	P	PPLA	aiddata.org 2012 oecd	2012	NE	"European Communities (EC)"	CEC
116086422	2441291	Maradi	13.5	7.10174	P	PPLA	aiddata.org 2012 oecd	2012	NE	"European Communities (EC)"	CEC
116086459	2328926	Federal Republic of Nigeria	10	8	A	PCLI	aiddata.org 2012 oecd	2012	NG	"European Communities (EC)"	CEC
116086496	2324828	Plateau State	9.16667	9.75	A	ADM1	aiddata.org 2012 oecd	2012	NG	"European Communities (EC)"	CEC
116086496	2565342	Adamawa State	9.33333	12.5	A	ADM1	aiddata.org 2012 oecd	2012	NG	"European Communities (EC)"	CEC
116086496	2595346	Ekiti State	7.66667	5.25	A	ADM1	aiddata.org 2012 oecd	2012	NG	"European Communities (EC)"	CEC
